relictMORE.0.0001	relictMORE.0.001	relictMORE.0.01	nonrelictMORE.0.0001	nonrelictMORE.0.001	nonrelictMORE.0.01
background355	0.0295694	0.06904865	0.0636915	0.125121	0.1055075	0.0976355
background356	0.0877442	0.06069815	0.0689937	0.139978	0.107544	0.1044485
background357	0.0115807	0.0948706	0.0669064	0.0865756	0.1206025	0.109567
background358	0.0540246	0.06600425	0.0643459	0.186164	0.1056225	0.10047
background359	0.0956432	0.0899549	0.0721099	0.139638	0.1044555	0.1007275
background360	0.0552204	0.0857827	0.0654851	0.133282	0.119561	0.1035985
background361	0.0265196	0.0882195	0.0669262	0.100993	0.109291	0.100439
background362	0.0904079	0.08084215	0.0673789	0.181255	0.116261	0.10047
background363	0.133316	0.08899205	0.0727176	0.140005	0.09910865	0.100421
background364	0.0725995	0.1025945	0.0676843	0.148723	0.1311095	0.1049445
background365	0.104211	0.0698728	0.0640058	0.168328	0.1303835	0.1019985
